Location,Device Class,Games Product,Music Product,Education Product,Call Center,Video Product,Use MyApp,Payment Method,Monthly Purchase,CLTV,Total Service,CLTV per Purchase,Cluster,Predicted Tenure Months to Churn,Tenure Months,Index
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,59540.0,7764900.000000001,0,130.41484716157206,2,5,1,33
Jakarta,Mid End,No,No,No,No,No,Yes,Pulsa,46214.99999999999,5145400.000000001,1,111.33614627285517,4,7,1,34
Bandung,Mid End,No,No,No,No,No,No,Digital Wallet,59735.00000000001,6354400.000000001,0,106.37649619151252,2,4,1,35
Bandung,High End,No,No,No,No,Yes,Yes,Pulsa,118104.99999999999,6611800.0,2,55.98238855255917,1,15,1,36
Bandung,High End,No,No,No,No,No,No,Digital Wallet,90220.00000000001,3701100.0,0,41.02305475504322,4,6,1,37
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Credit,26195.0,5560100.0,0,212.25806451612902,2,12,1,38
Bandung,High End,No,No,No,No,No,No,Pulsa,91065.0,3508700.0000000005,0,38.529621698786585,4,7,1,39
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,57330.00000000001,7741500.0,0,135.03401360544217,2,4,1,40
Jakarta,High End,No,No,No,No,No,No,Pulsa,97630.0,5635500.0,0,57.72303595206392,1,7,1,41
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,32825.0,6016400.000000001,0,183.28712871287132,2,5,1,42
Jakarta,High End,No,No,No,No,No,No,Pulsa,91390.0,7751900.000000001,0,84.82219061166431,1,7,1,43
Bandung,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Pulsa,27300.0,4878900.000000001,0,178.71428571428575,4,8,1,44
Bandung,Mid End,No,No,No,No,No,No,Digital Wallet,58630.0,3562000.0,0,60.753880266075384,4,4,1,45
Bandung,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,27169.999999999996,7185100.0,0,264.44976076555025,2,7,1,46
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25544.999999999996,7432100.0,0,290.94147582697207,2,4,1,47
Jakarta,High End,No,No,No,No,Yes,No,Digital Wallet,110045.00000000001,5539300.0,1,50.33668044890726,1,8,1,48
Bandung,High End,No,No,No,No,No,Yes,Pulsa,112580.0,6796400.000000001,1,60.36951501154735,1,14,1,49
Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,123630.0,7533500.0,2,60.93585699263933,1,15,1,50
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Debit,26260.0,7012200.0,0,267.029702970297,2,15,1,51
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26065.0,4538300.0,0,174.1147132169576,4,4,1,52
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Pulsa,25869.999999999996,6022900.000000001,0,232.81407035175886,2,8,1,53
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Pulsa,25935.0,2666300.0,0,102.80701754385964,4,7,1,54
Jakarta,Mid End,No,Yes,No,No,No,No,Pulsa,66039.99999999999,4833400.000000001,1,73.18897637795278,4,9,1,55
Jakarta,High End,No,No,No,No,No,Yes,Pulsa,103479.99999999999,2858700.0000000005,1,27.625628140703526,0,7,1,56
Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,116870.0,7736300.0,2,66.19577308120134,1,14,1,57
Jakarta,High End,No,No,No,Yes,No,No,Pulsa,98670.00000000001,4405700.0,1,44.65085638998682,0,7,1,58
Jakarta,High End,No,No,Yes,No,No,No,Pulsa,99060.0,7764900.000000001,1,78.38582677165356,1,11,1,59
Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,57720.0,4578600.0,0,79.32432432432432,4,3,1,60
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25025.000000000004,7068100.0,0,282.4415584415584,2,8,1,61
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25675.0,6306300.0,0,245.62025316455697,2,5,1,62
Jakarta,Mid End,Yes,Yes,No,Yes,No,No,Pulsa,78000.0,5890300.0,3,75.51666666666667,1,22,1,63
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,27105.000000000004,4962100.0,0,183.06954436450837,4,4,1,64
Jakarta,High End,No,Yes,No,No,No,No,Pulsa,98410.00000000001,6349200.0,1,64.51783355350065,1,14,1,65
Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,58890.0,3963700.0000000005,0,67.30684326710818,4,3,1,66
Jakarta,Mid End,Yes,Yes,No,No,No,No,Pulsa,71370.0,3682900.0,2,51.602914389799636,0,14,1,67
Jakarta,High End,No,No,No,No,No,No,Digital Wallet,92755.0,7449000.0,0,80.3083391730904,1,4,1,68
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26780.0,4703400.000000001,0,175.6310679611651,4,4,1,69
Jakarta,High End,No,No,No,No,No,No,Pulsa,90415.0,3954600.0,0,43.73831775700935,4,6,1,70
Jakarta,Mid End,Yes,No,No,No,No,No,Credit,63180.00000000001,5469100.0,1,86.56378600823044,1,15,1,71
Bandung,High End,No,Yes,No,No,No,No,Pulsa,97110.00000000001,6099600.0,1,62.81124497991967,1,12,1,72
Jakarta,Mid End,No,No,Yes,No,No,No,Digital Wallet,64545.0,6939400.000000001,1,107.51258811681774,1,5,1,73
Bandung,Mid End,No,No,No,No,No,No,Pulsa,31980.000000000004,7498400.000000001,0,234.47154471544715,2,5,1,74
Jakarta,High End,No,No,No,No,No,No,Pulsa,90415.0,7732400.000000001,0,85.52120776419842,1,7,1,75
Bandung,High End,No,No,No,No,No,No,Pulsa,90870.0,6977100.0,0,76.78111587982832,1,7,1,76
Jakarta,Mid End,No,No,No,No,No,No,Debit,57655.0,5978700.0,0,103.6978579481398,2,10,1,77
Jakarta,High End,No,No,No,No,No,No,Pulsa,95745.0,7075900.000000001,0,73.90359809911746,1,8,1,78
Bandung,High End,No,No,No,No,Yes,Yes,Pulsa,117715.0,3415100.0,2,29.01159580342352,0,13,1,79
Bandung,High End,No,No,No,No,No,No,Pulsa,97955.0,5723900.000000001,0,58.43397478433976,1,8,1,80
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,59800.00000000001,5890300.0,0,98.49999999999999,2,4,1,81
Bandung,Mid End,No,No,No,No,No,No,Digital Wallet,59410.00000000001,4642300.0,0,78.14004376367613,4,3,1,82
Bandung,Mid End,No,No,No,No,No,No,Credit,58110.00000000001,4810000.0,0,82.77404921700223,4,10,1,83
Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,117715.0,5067400.000000001,2,43.048039757040314,0,14,1,84
Jakarta,High End,No,No,No,No,No,No,Digital Wallet,91195.00000000001,4170400.0000000005,0,45.73057733428367,4,5,1,85
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,59410.00000000001,4143100.0000000005,0,69.73741794310722,4,4,1,86
Jakarta,High End,No,No,No,No,No,Yes,Pulsa,105429.99999999999,2697500.0,1,25.585696670776823,0,8,1,87
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26715.000000000004,4936100.0,0,184.76885644768853,4,4,1,88
Jakarta,High End,No,No,No,No,No,No,Pulsa,90935.0,4170400.0000000005,0,45.861329521086496,4,6,1,89
Bandung,High End,No,No,No,No,No,No,Pulsa,95615.0,5679700.0,0,59.401767505098576,1,7,1,90
Jakarta,High End,No,No,No,No,No,No,Pulsa,90740.0,5400200.0,0,59.51289398280802,1,6,1,91
Jakarta,Mid End,No,No,No,No,No,Yes,Digital Wallet,72410.00000000001,6017700.0,1,83.10592459605026,1,8,1,92
Jakarta,Mid End,Yes,No,No,No,No,No,Digital Wallet,65780.0,4780100.0,1,72.66798418972331,4,6,1,93
Jakarta,High End,No,No,No,No,No,No,Pulsa,90804.99999999999,6572800.0,0,72.38367931281319,1,7,1,94
Jakarta,Mid End,No,No,No,No,Yes,No,Digital Wallet,69615.0,3023800.0,1,43.43604108309991,4,8,1,95
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25090.000000000004,5545800.0,0,221.0362694300518,2,12,1,96
Jakarta,Mid End,No,No,No,No,No,Yes,Pulsa,78195.00000000001,5994300.0,1,76.6583541147132,1,9,1,97
Jakarta,High End,No,No,No,No,No,No,Pulsa,92495.0,6873100.0,0,74.30780042164442,1,8,1,98
Jakarta,High End,No,No,No,No,No,No,Pulsa,97370.0,3312400.0,0,34.018691588785046,4,8,1,99
Jakarta,High End,No,No,No,No,No,Yes,Digital Wallet,105104.99999999999,4024800.0,1,38.29313543599258,0,7,1,100
Bandung,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,24830.000000000004,7657000.0,0,308.3769633507853,2,9,1,101
Bandung,High End,Yes,No,No,No,No,No,Pulsa,104390.0,5379400.000000001,1,51.53175591531757,1,13,1,102
Bandung,High End,No,No,Yes,No,No,No,Pulsa,97370.0,7694700.0,1,79.02536715620828,1,10,1,103
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Pulsa,26715.000000000004,7326800.0,0,274.25790754257906,2,9,1,104
Jakarta,High End,No,No,No,No,No,No,Pulsa,89830.0,3597100.0,0,40.04341534008683,4,7,1,105
Jakarta,High End,No,No,No,No,Yes,No,Pulsa,102440.0,6597500.0,1,64.40355329949239,1,9,1,106
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,32630.000000000004,7068100.0,0,216.61354581673305,2,5,1,107
Jakarta,Mid End,No,No,Yes,No,No,No,Digital Wallet,65195.00000000001,4469400.000000001,1,68.5543369890329,4,5,1,108
Jakarta,High End,No,No,No,No,No,No,Digital Wallet,91585.00000000001,4582500.0,0,50.03548616039744,4,3,1,109
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,65585.00000000001,3806400.0,0,58.03766105054508,4,4,1,110
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,32175.000000000004,3901300.0,0,121.25252525252525,4,4,1,111
Jakarta,High End,No,No,No,No,No,Yes,Credit,104195.00000000001,5131100.0,1,49.245165315034306,1,14,1,112
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,59475.0,4590300.0,0,77.18032786885246,4,4,1,113
Jakarta,Mid End,No,No,No,No,Yes,No,Pulsa,45110.00000000001,5818800.0,1,128.99135446685878,2,8,1,114
Jakarta,High End,No,No,No,No,No,No,Pulsa,98800.0,3337100.0,0,33.776315789473685,4,8,1,115
Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,129675.00000000001,5478200.0,3,42.24561403508771,3,26,1,116
Jakarta,Mid End,No,No,Yes,No,No,No,Digital Wallet,65585.00000000001,3647800.0,1,55.61942517343903,4,5,1,117
Jakarta,High End,No,Yes,No,No,Yes,Yes,Credit,130325.00000000001,7536100.0,3,57.82543640897755,3,42,1,118
Jakarta,High End,No,No,No,No,No,No,Pulsa,90804.99999999999,5912400.000000001,0,65.11095204008592,1,6,1,119
Jakarta,High End,No,No,No,No,No,No,Digital Wallet,92104.99999999999,3928600.0,0,42.653493295695135,4,5,1,120
Bandung,High End,No,No,No,No,Yes,Yes,Pulsa,115830.0,3776500.0,2,32.60381593714927,0,12,1,121
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,27169.999999999996,7047300.0,0,259.37799043062205,2,6,1,122
Bandung,High End,No,No,No,No,Yes,No,Pulsa,103415.0,6606600.0,1,63.88434946574481,1,9,1,123
Bandung,High End,No,No,No,No,Yes,No,Pulsa,102830.0,6501300.0,1,63.22376738305942,1,10,1,124
Jakarta,High End,No,No,No,No,No,No,Pulsa,90479.99999999999,3135600.0,0,34.65517241379311,4,8,1,125
Jakarta,High End,No,No,No,No,Yes,No,Pulsa,101465.0,4495400.000000001,1,44.30493273542602,0,7,1,126
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26260.0,6961500.0,0,265.0990099009901,2,7,1,127
Bandung,High End,No,No,Yes,No,Yes,No,Pulsa,115440.0,4037800.0,2,34.97747747747748,0,13,1,128
Bandung,High End,No,No,No,No,No,No,Pulsa,97435.0,3368300.0,0,34.56971314209473,4,9,1,129
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26325.0,3617900.0,0,137.4320987654321,4,5,1,130
Bandung,High End,No,Yes,No,Yes,Yes,No,Pulsa,119210.00000000001,5614700.0,3,47.09923664122137,3,27,1,131
Jakarta,High End,No,No,Yes,No,Yes,No,Pulsa,111085.00000000001,6410300.0,2,57.706260971328255,1,14,1,132
Bandung,Mid End,No,No,No,No,No,No,Digital Wallet,59605.00000000001,7709000.0,0,129.3347873500545,2,2,1,133
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26650.000000000004,3117400.0,0,116.97560975609754,4,5,1,134
Bandung,High End,No,No,No,No,Yes,Yes,Pulsa,117780.0,3302000.0,2,28.03532008830022,0,13,1,135
Jakarta,Mid End,No,Yes,No,No,No,No,Pulsa,65715.0,4446000.0,1,67.65578635014836,4,9,1,136
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,31265.0,4110600.0000000005,0,131.47609147609148,4,5,1,137
Bandung,High End,No,No,No,No,No,No,Pulsa,89050.0,7478900.000000001,0,83.98540145985403,1,7,1,138
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,31525.000000000004,3699800.0,0,117.36082474226802,4,4,1,139
Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,33540.0,5049200.0,0,150.54263565891472,4,2,1,140
Bandung,High End,No,No,No,No,No,No,Digital Wallet,90935.0,6943300.0,0,76.35453895639742,1,4,1,141
Jakarta,High End,No,No,No,No,No,No,Pulsa,97110.00000000001,4352400.000000001,0,44.81927710843374,4,6,1,142
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,55770.0,6363500.0,0,114.1025641025641,2,5,1,143
Jakarta,High End,No,No,No,No,No,Yes,Pulsa,102245.0,3546400.0,1,34.68531468531469,0,7,1,144
Bandung,High End,No,No,No,No,No,Yes,Digital Wallet,111540.0,3705000.0,1,33.21678321678322,0,8,1,145
Bandung,Mid End,No,No,No,Yes,Yes,No,Pulsa,52130.0,7064200.0,2,135.51122194513715,1,12,1,146
Jakarta,High End,No,No,No,No,No,No,Digital Wallet,91195.00000000001,7504900.000000001,0,82.29508196721311,1,3,1,147
Jakarta,Mid End,No,No,No,No,No,No,Debit,64935.0,2653300.0,0,40.86086086086086,4,13,1,148
Jakarta,High End,No,No,No,No,Yes,No,Pulsa,102960.00000000001,5671900.000000001,1,55.08838383838384,1,8,1,149
Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,32759.999999999996,4154800.0,0,126.82539682539684,4,2,1,150
Jakarta,High End,Yes,No,No,No,Yes,Yes,Pulsa,123500.0,5835700.0,3,47.252631578947366,3,20,1,151
Jakarta,Mid End,No,Yes,No,Yes,No,No,Digital Wallet,78130.00000000001,7350200.0,2,94.07653910149749,1,12,1,152
Jakarta,High End,No,No,No,No,Yes,No,Pulsa,102635.0,2649400.0,1,25.813806206459784,0,10,1,153
Jakarta,High End,No,No,No,No,Yes,No,Pulsa,102765.0,4621500.0,1,44.97153700189753,0,7,1,154
Jakarta,Mid End,Yes,No,Yes,No,No,No,Pulsa,72539.99999999999,7185100.0,2,99.05017921146955,1,17,1,155
Jakarta,High End,No,Yes,No,No,No,No,Pulsa,98540.0,5122000.0,1,51.97889182058047,1,10,1,156
Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,58565.0,5322200.0,0,90.87680355160933,4,3,1,157
Jakarta,High End,No,No,Yes,No,No,No,Pulsa,99255.0,7296900.000000001,1,73.51669941060905,1,11,1,158
Jakarta,High End,No,No,No,No,No,No,Digital Wallet,96525.0,6175000.0,0,63.97306397306397,1,5,1,159
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,58890.0,5938400.000000001,0,100.83885209713026,2,4,1,160
Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,122200.0,5428800.0,2,44.42553191489362,0,15,1,161
Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,31785.0,2757300.0,0,86.74846625766871,4,4,1,162
Jakarta,Mid End,Yes,No,No,Yes,No,No,Pulsa,70135.0,3602300.0,2,51.36237256719185,0,14,1,163
Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,59605.00000000001,4817800.0,0,80.8287895310796,4,3,1,164
Jakarta,High End,No,No,No,No,No,No,Pulsa,89635.0,7337200.0,0,81.85641769398114,1,8,1,165
Jakarta,High End,No,No,No,No,No,No,Pulsa,90740.0,2759900.0,0,30.415472779369626,4,8,1,166
Bandung,Mid End,No,No,No,No,No,No,Pulsa,58630.0,5848700.0,0,99.7560975609756,2,5,1,167
Jakarta,High End,No,No,No,No,No,No,Digital Wallet,92040.0,5071300.0,0,55.09887005649718,1,4,1,168
Bandung,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Debit,26065.0,6123000.0,0,234.91271820448878,2,14,1,169
Jakarta,High End,No,No,No,No,Yes,No,Pulsa,104325.0,3252600.0,1,31.177570093457945,0,10,1,170
Jakarta,Mid End,No,No,Yes,Yes,No,No,Digital Wallet,80664.99999999999,3818100.0,2,47.3327961321515,0,9,1,171
Jakarta,High End,No,No,No,No,No,No,Digital Wallet,90220.00000000001,3125200.0000000005,0,34.63976945244957,4,6,1,172
Jakarta,High End,No,Yes,No,No,No,No,Pulsa,96655.0,7322900.000000001,1,75.76328177538669,1,14,1,173
Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,57785.00000000001,6342700.0,0,109.76377952755904,2,3,1,174
Jakarta,High End,No,No,No,No,No,No,Pulsa,91130.0,2609100.0,0,28.63052781740371,4,5,1,175
Jakarta,High End,No,Yes,No,No,Yes,No,Pulsa,109590.0,2823600.0,2,25.765124555160142,0,18,1,176
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Debit,25935.0,6318000.0,0,243.60902255639098,2,13,1,177
Jakarta,High End,No,No,No,No,No,No,Pulsa,90155.0,7534800.0,0,83.57606344628695,1,7,1,178
Jakarta,Mid End,No,No,No,No,Yes,No,Pulsa,77805.0,5222100.0,1,67.11779448621554,1,6,1,179
Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,65715.0,4364100.0,0,66.40949554896143,4,3,1,180
Jakarta,High End,No,No,No,No,Yes,No,Pulsa,104715.0,5554900.000000001,1,53.04779639975172,1,8,1,181
Jakarta,High End,No,No,No,No,No,No,Pulsa,90479.99999999999,4469400.000000001,0,49.39655172413795,4,5,1,182
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26000.0,4754100.0,0,182.85,4,4,1,183
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25350.0,6774300.0,0,267.2307692307692,2,6,1,184
Jakarta,High End,No,No,No,No,No,Yes,Pulsa,110565.0,3867500.0,1,34.97942386831276,0,9,1,185
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26195.0,5333900.000000001,0,203.62282878411915,2,4,1,186
Jakarta,High End,No,No,No,No,No,No,Pulsa,90870.0,4353700.0,0,47.911301859799714,4,5,1,187
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,32759.999999999996,7394400.000000001,0,225.71428571428578,2,5,1,188
Jakarta,High End,No,No,No,No,No,No,Pulsa,90025.0,5682300.0,0,63.11913357400722,1,6,1,189
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25285.0,3724500.0,0,147.30077120822622,4,9,1,190
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25285.0,7393100.0,0,292.3907455012853,2,8,1,191
Jakarta,High End,No,No,No,No,No,No,Pulsa,96460.00000000001,6089200.0,0,63.12668463611859,1,8,1,192
Jakarta,High End,No,No,No,No,No,No,Pulsa,91000.0,3230500.0,0,35.5,4,8,1,193
Jakarta,High End,No,No,No,No,No,No,Pulsa,93145.00000000001,7376200.0,0,79.19050942079552,1,8,1,194
Jakarta,High End,No,No,No,No,No,No,Pulsa,93145.00000000001,3090100.0,0,33.17515701325889,4,8,1,195
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26325.0,3846700.0000000005,0,146.12345679012347,4,4,1,196
Jakarta,High End,No,No,No,No,No,No,Pulsa,90545.00000000001,6163300.0,0,68.0689160086145,1,7,1,197
Jakarta,High End,No,No,No,No,No,No,Pulsa,91325.0,5372900.000000001,0,58.832740213523145,1,6,1,198
Jakarta,Mid End,No,No,Yes,No,No,Yes,Pulsa,76960.00000000001,6526000.0,2,84.79729729729728,1,15,1,199
Jakarta,High End,No,No,No,No,No,No,Pulsa,92300.0,6948500.0,0,75.28169014084507,1,7,1,200
Bandung,High End,No,No,No,No,No,No,Pulsa,89245.0,3967600.0,0,44.457392571012385,4,7,1,201
Bandung,High End,No,No,No,No,No,No,Pulsa,92104.99999999999,3736200.0000000005,0,40.564573041637274,4,7,1,202
Bandung,High End,Yes,No,No,No,No,No,Digital Wallet,95679.99999999999,3334500.0,1,34.850543478260875,0,9,1,203
Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,58565.0,3437200.0000000005,0,58.69034406215317,4,3,1,204
Jakarta,High End,No,No,No,No,No,Yes,Pulsa,106535.00000000001,7308600.0,1,68.60280658938376,1,13,1,205
Bandung,Mid End,No,No,No,No,No,No,Pulsa,32890.0,7047300.0,0,214.2687747035573,2,6,1,206
Bandung,High End,No,No,No,No,No,No,Pulsa,91000.0,5322200.0,0,58.48571428571429,1,7,1,207
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26130.000000000004,5705700.0,0,218.35820895522386,2,5,1,208
Jakarta,High End,No,No,No,No,No,No,Digital Wallet,90870.0,2730000.0,0,30.042918454935624,4,6,1,209
Jakarta,High End,No,No,No,No,No,Yes,Pulsa,105040.0,5751200.0,1,54.75247524752475,1,11,1,210
Bandung,High End,No,No,No,No,No,No,Digital Wallet,91780.0,4339400.000000001,0,47.28045325779038,4,5,1,211
Bandung,Mid End,No,No,No,No,No,No,Debit,32240.000000000004,6613100.0,0,205.12096774193546,2,11,1,212
Jakarta,Mid End,No,No,No,No,No,No,Pulsa,32695.0,7001800.0,0,214.15506958250498,2,5,1,213
Jakarta,High End,No,No,No,No,No,No,Pulsa,99385.0,4891900.000000001,0,49.22171353826031,1,6,1,214
Jakarta,High End,No,No,No,No,No,No,Pulsa,96850.00000000001,2620800.0,0,27.060402684563755,4,8,1,215
Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26650.000000000004,4966000.0,0,186.34146341463412,4,4,1,216
Jakarta,High End,No,No,No,No,No,No,Pulsa,96720.00000000001,7057700.0,0,72.97043010752687,1,8,1,217
Bandung,Mid End,No,Yes,No,No,Yes,No,Pulsa,52260.00000000001,7576400.000000001,2,144.97512437810946,1,18,1,218
Bandung,Mid End,Yes,No,No,No,No,No,Digital Wallet,63115.0,7393100.0,1,117.13697219361482,1,6,1,219
Jakarta,High End,No,No,No,No,No,No,Pulsa,89895.00000000001,5432700.0,0,60.43383947939262,1,6,1,220
